,csat,origin,comment,removed
0,4,PTA Check Your State Pension,I couldn't see it mentioned anywhere the number of qualifying years needed to get the full state pension.,0.0
1,1,PTA P800,"login= 100 times
password= 100 times
TAX deduction= very prompt
TAX refund= takes ages, more than 3 months now
NOT FAIR",0.0
2,3,PTA Repayments,It was a long process,0.0
3,5,PTA PERTAX,"You sent a secure email, I went on the website and did what needed to be done easily",0.0
4,4,PTA PERTAX,Once I signed in it was easy to find the information I was  looking for.,0.0
5,5,PTA Repayments,Well presented and easy to follow.,0.0
6,3,PTA Check Income Tax,"Access to detailed incomes and tax for previous years not easy to access or not available. If other private pensions are shown as income, WHY NOT STATE  PENSION?",0.0
7,5,PTA P800,"I'd accomplished all I'd set out to do in the shortest time, very easy to use.",0.0
8,5,PTA PERTAX,Fast and great.,0.0
9,5,PTA Repayments,very easy to get in my account and sorted out quickly,0.0
10,5,PTA PERTAX,The service is very useful,0.0
11,5,PTA P800,"Finally a digital way to get access codes. As an expat, I didn't have the previously needed credentials of a UK postal code",0.0
12,4,PTA P800,"I completed the process, however towards the end I was not sure if the application was successful or not.",0.0
13,5,PTA P800,site easy to navigate,0.0
14,5,PTA Tax Credits Service,because is very simple to do,0.0
15,2,PTA PERTAX,New tax code change included an figure for unpaid tax in current year 23/24 with no explanation on how the amount was derived or how the amount used to changed the tax code was derived from the unpaid tax amount.  I couldn't work it out.,0.0
16,4,PTA Check Your State Pension,Because it was easy...,0.0
17,5,PTA Check Your State Pension,Instructions are clear enough and straight forward.,0.0
18,4,PTA PERTAX,Easy to follow instructions and quick but the app had difficulty confirming identity,0.0
19,5,PTA Track Your Form,very easy to understand the information given to me,0.0
20,4,PTA Check Your State Pension,"Was just double -checking to see if what I thought was correct was, in fact, correct.",0.0
21,3,PTA Track Your Form,"Could find some information but not all.
Whilst the information advises that 2 years of NI payments are required, there are no ways to pay.",0.0
22,5,PTA Tax Credits Service,Everything was done efficiently and how I wanted it.,0.0
23,1,PTA PERTAX,I JUST WANTED TO CHANGE MY TELEPHONE NUMBER,0.0
24,5,PTA PERTAX,excellent and very easy to access portal,0.0
25,5,PTA PERTAX,Easy to navigate through the service,0.0
26,4,PTA Check Your State Pension,I had put all my correct information in and it said it was wrong so I had to use a separate method. Probably because I only have a provisional license. [REMOVED] not certain as it wasnt stated if it would or wouldnt work.,1.0
27,4,PTA Check Your State Pension,The signup wasn't the easiest thing I've ever done. Clearly my initial attempts were due to typos or misinterpreting the prompts because it worked eventually. I would've appreciated some feedback on the validation that failed.,0.0
28,4,PTA Check Your State Pension,I just had to read it a couple of times before being sure that I understood it.,0.0
29,4,PTA PERTAX,"Easy to use, once you have found the documents required.",0.0
30,5,PTA Check Your State Pension,Clear website. Easy to follow and clear language,0.0
31,5,PTA Check Your State Pension,it such a simple system to use,0.0
32,5,PTA PERTAX,information was clear and easy to follow,0.0
33,4,PTA Check Income Tax,It was straight forward,0.0
34,5,PTA Repayments,Clear process from setting up to requesting the refund.,0.0
35,5,PTA Repayments,clear info and options,0.0
36,5,PTA Check Your State Pension,"An email was sent to me telling me I had a message from you. I logged in and looked on my account, the message was clear and concise. So I  followed the instructions (to get a refund) . The procedure went smoothly. 

The only problem encountered was when invited to check my possible future state pension payment I was told I could 'top it up' for a higher amount, the problem was the deadline for doing so has already passed.",0.0
37,3,PTA Check Your State Pension,I THINK IT WAS MY BROWSER,0.0
38,5,PTA Check Your State Pension,ease of use to get to the info required,0.0
39,5,PTA Repayments,Instructions very clear and minimal.,0.0
40,5,PTA Check Your State Pension,got the info i needed easily,0.0
41,5,PTA PERTAX,App very easy to use,0.0
42,1,PTA Marriage Allowance,"error, thought i applied for my partner to transfer some of his tax to me with marriage allowance but i've had some of my tax transferred to him. He does not work so this benefits no one. Unable to send a message for a call back or email. I work nights as a nurse so not helpful.",0.0
